id,solution
1,"London"
2,"Sundar Pichai"
3,"Tim Cook"
4,"Satya Nadella"
5,"Chanda Kochhar"
6,"April 4, 1975"
7,"September 4, 1998"
8,"June 1994"
9,"April 1, 1976"
10,"2003"
11,"Elon Musk"
12,"Elon Musk"
13,"Doug McMillon"
14,"Akio Toyoda"
15,"Jeff Bezos"
16,"Dion Weisler"
17,"John G. Stratton"
18,"W. Craig Jelinek"
19,"Randall L. Stephenson"
20,"Mary T. Barra"
21,"Chi Hun Choi"
22,"Matthias MÃ¼ller"
23,"Jeff Immelt"
24,"Mark Fields"
25,"Stefano Pessina"
26,"Jeff Weiner"
27,"Evan Spiegel"
28,"James Dimon"
29,"Bill Gates"
30,"Larry Page"